name1,name2,street1,street2,city,state,zip,phone,intake1,intake2,intake1a,intake2a,service_code_info
Fernbrook Family Center,Waseca,111 North State Street,,Waseca,Minnesota,56093,507-201-2568,,,,,MH SUMH * OP * OMH * AT CBT CFT IPT TELE * PVTP * CLF MC MD MI OSF PI SF SI SWFS * TAY SED SMI * ADLT CHLD SNR YAD * VPPD * COOT FPSY
South Central Human Relations Center,,204 2nd Street NW,,Waseca,Minnesota,56093,507-835-7064,507-446-1218,800-722-0590,,,MH SUMH * OP * CMHC * CBT CFT EMDR IPT TELE * CIT PEON PEOFF * PVTN * CLF CMHG MC MD MI OSF PI SF SI SMHA SWFS VAF * SS * TAY SED SMI * STU * ADLT CHLD SNR YAD * AH * VAPN * COOT IMR CM
Child/Adolescent Behav Health Hospital,,2301 Transportation Road NE,,Willmar,Minnesota,56201,320-441-0120,866-966-2337,651-431-5337,,,MH * HI * PSY * HALOP CLOZA RISPE ANTPYCH * AT CBT GT IPT * STG * CLF MC OSF PI SCJJ SF SI SMHA SWFS * CJ TRMA PTSD SED * LABT * SMON * CHLD * AH * VAPN * FPSY IMR ES
Southwestern Mental Health Ctr Inc,,41385 U.S. Highway 71 North,,Windom,Minnesota,56101,507-831-2090,,,,,MH * OP * OMH * NRT NSC ANTPYCH * CBT CFT DBT GT IPT TELE * CIT PEON PEOFF WI * PVTN * CLF CMHG CSBG MC MD MI PI SF SI SMHA SWFS * PA SS * SE SMI * STU * HS PEER * TCC * SMON * ADLT CHLD SNR YAD * AH * VAPN * COOT FPSY IMR PRS SEMP SH VRS SPS ES
Hiawatha Hall,,428 West Broadway Street,,Winona,Minnesota,55987,507-454-7711,,,,,SA MH SUMH * RES * RTCA * ANTPYCH * GT IDD TELE * PVTN * FQHC * CLF MC MD SF SI * SE CO SMI * HS * ADLT SNR YAD * VPPD * COOT FPSY IMR PRS CM SPS
Hiawatha Valley Mental Health Center,,420 East Sarnia Street,suite 2100,Winona,Minnesota,55987,507-454-4341,,,,,SA MH SUMH * OP * CMHC * NRT NSC ANTPYCH * CBT CFT DBT EMDR GT IDD IPT TELE * CIT PEON PEOFF * PVTN * CLF MC MD MI OSF PI SCJJ SEF SF SI SMHA SWFS * TAY SE GL VET ADM MF CJ CO HV TRMA TBI ALZ PTSD SED SMI * STU * HS PEER * TCC * ADLT CHLD SNR YAD * AH * VPPD * COOT FPSY IMR PRS SH CM SPS ES
Hiawatha Valley Mental Health Center,Bluffview Board and Lodge,252 West Wabasha Street,,Winona,Minnesota,55987,507-454-1046,507-454-4341,,,,MH * OP RES * RTCA * ANTPYCH * CIT PEON * PVTN * CLF MC MD SF * HS * ADLT SNR YAD * VPPD * PRS SH ES
Southwestern Mental Health Ctr Inc,,1210 5th Avenue,,Worthington,Minnesota,56187,507-376-4141,,,,,MH * OP * OMH * NRT NSC ANTPYCH * CBT CFT DBT GT IPT TELE * CIT PEON PEOFF WI * PVTN * CLF CMHG CSBG MC MD MI PI SF SI SMHA SWFS * PA SS * SE SMI * STU * HS PEER * TCC * SMON * ADLT CHLD SNR YAD * AH * VAPN * ACT COOT FPSY IMR PRS SEMP SH VRS IPC SPS ES
Southwestern Mental Health Ctr Inc,Unity House,1215 4th Avenue,,Worthington,Minnesota,56187,507-372-7671,,,,,SA MH SUMH * RES * RTCA * ARIPI CLOZA OLANZ RISPE ANTPYCH * CBT DBT GT IDD IPT * CIT PEON WI * PVTN * CLF CMHG CSBG ITU MC MD MI PI SF SI SMHA SWFS VAF * PA SS * SMON * ADLT SNR YAD * AH * VAPN * ACT CM SPS
Lifecore Health Group,Benton County,218 Industrial Road,,Ashland,Mississippi,38603,662-426-4697,,,,,MH * OP PHDT * CMHC * ANTPYCH * CBT CFT DBT GT IPT TELE * CIT PEOFF * PVTP * CLF CMHG CSBG MC MD MI OSF PI SCJJ SEF SF SI SMHA SWFS * TAY SE CJ TRMA PTSD SED SMI * PEER * ADLT CHLD SNR YAD * AH * VPPD * COOT FPSY PRS SEMP CM SPS ES
PACT Team Facility,,LIFECORE Health Group,214 Industrial Drive,Ashland,Mississippi,38603,662-426-4697,662-594-2025,662-594-2027,,,SA MH SUMH * OP * CMHC * ANTPYCH * AT CBT CFT DBT EMDR GT IDD IPT * CIT * FQHC * CLF CMHG CSBG MC MD OSF SMHA * SE GL VET MF CJ CO TRMA TBI PED PTSD SMI * STU * HS PEER * TCC * ADLT SNR YAD * AH * ACT COOT DEC FPSY SEMP VRS CM IPC SPS ES
Panola Medical West,,155 Keating Road,,Batesville,Mississippi,38606,662-561-4032,662-561-4032 x4032,662-561-4017 x4017,,,MH SUMH * HI * IPSY * CHLOR FLUPH HALOP LOXAP PERPH PIMOZ TRIFL ARIPI CLOZA OLANZ OLANZF QUETI RISPE ZIPRA NSC ANTPYCH * AT CBT DBT GT IPT * CIT PEON * PVTP * CLF MC MD PI SF SI SMHA * SE GL VET ADM MF CJ CO TRMA PTSD SMI * STU * MST LABT * TCC * ADLT SNR YAD * AH * VAPN * IMR PRS CM IPC SPS
Region X Weems CMHC,Jasper County,78 South 5th Street,,Bay Springs,Mississippi,39422,601-764-2201,,,,,SA MH SUMH * OP PHDT * CMHC * ANTPYCH * CBT CFT DBT GT IDD IPT TELE AIM * CIT PEON WI * LCCG * FQHC * CLF CMHG CSBG MC MD MI PI SF SI SMHA * SS * SE SED SMI * STU * TBS * ADLT CHLD SNR YAD * AH * VPPD * COOT FPSY ICM IMR PRS CM SPS ES
Gulf Coast Center for Nonviolence,,P.O. Box 333,,Biloxi,Mississippi,39533,228-436-3809,228-435-1968,,,,SA MH SUMH * OP * MSMH * AT CBT CFT DBT GT IPT TELE * CIT * PVTN * CLF CSBG FG PCF SMHA * PA * DV TRMA PTSD SED * HS * ADLT CHLD SNR YAD * AH * VPPD * COOT FPSY ICM LAD SH CM ES
Gulf Coast VAMC,Behavioral Health Services (116),400 Veterans Avenue,,Biloxi,Mississippi,39531,228-523-5000,,,,,SA MH SUMH * HI OP PHDT RES * VAHC * FLUPH HALOP LOXAP PROCH THIOT THIOR TRIFL ARIPI ASENA BREXP CARIP CLOZA ILOPE OLANZ PALIP QUETI RISPE ZIPRA NRT NSC ANTPYCH * AT CBT CFT DBT EMDR GT IDD IPT TELE * CIT PEON PEOFF WI * FED VAMC * CMHG CSBG MC MD MI PI SF SI VAF * TAY SE VET CO TRMA TBI ALZ PTSD SMI * STU * HIVT STDT TBS MST HBT HCT * HS PEER * TCC * SMON * ADLT SNR YAD * AH SP FX * F92 * VAPN * DEC FPSY ICM PRS SEMP SH VRS CM IPC SPS ES
Oceans Behavioral Hospital,Biloxi,180 Debuys Road,Suite C,Biloxi,Mississippi,39531,228-388-0600,,228-284-2817,,,MH SUMH * HI * PSY * CHLOR DROPE FLUPH HALOP LOXAP PERPH PIMOZ PROCH THIOT THIOR TRIFL ARIPI BREXP CARIP ILOPE LURAS OLANZ OLANZF PALIP NRT ANTPYCH * AT GT IDD IPT * PEON * PVTP * CLF MC MD MI OSF PI SEF SF SI SMHA SWFS VAF * TAY SE GL VET ADM CO HV TRMA ALZ PTSD SED SMI * STU * TCC * SMON * ADLT CHLD SNR YAD * AH * VAPN * CDM CM
Psycamore Psychiatric Programs,,2620 Executive Place,,Biloxi,Mississippi,39531,228-385-7744,228-385-4477,,,,MH SUMH * OP PHDT * PH * ARIPI LURAS OLANZ QUETI RISPE ZIPRA ANTPYCH * AT CBT CFT DBT GT IDD IPT TELE * PVTP * MI PI SF SI * TAY ADM MF CO TRMA PTSD SED SMI * STU * LABT * SMON * ADLT CHLD YAD * VAPN * FPSY
Region IV Mental Health Services,Timber Hills Prentiss County Office,2100 East Chambers Drive,,Booneville,Mississippi,38829,662-728-3174,,,,,SA MH SUMH * OP PHDT * CMHC * AT CBT CFT DBT GT IDD IPT TELE * CIT WI * PVTN * CLF CMHG CSBG MC MD MI OSF PI SCJJ SF SI SMHA SWFS * PA SS * TAY SE GL VET ADM MF CJ CO HV TRMA TBI ALZ PED PTSD SED SMI * HS PEER * TCC * ADLT CHLD SNR YAD * AH * ACT CDM COOT FPSY ICM IMR PRS SEMP SH CM SPS
Merit Health Rankin Hospital,Behavioral Health Unit,350 Crossgates Boulevard,,Brandon,Mississippi,39042,601-824-8654,,601-862-4195,,,MH * HI OP * IPSY * HALOP QUETI RISPE NRT NSC ANTPYCH * AT CBT GT IPT * PEON WI * PVTP * MC MI PI SF VAF * SE VET TBI ALZ * STU * TBS MST LABT * TCC * SMON * ADLT SNR * AH * VAPN * DEC FPSY CM
Region 8 Mental Health Services,Lincoln County Office,624 Highway 51 North,,Brookhaven,Mississippi,39601,601-823-2345,,,,,SA MH SUMH * OP PHDT * CMHC * CHLOR FLUPH HALOP LOXAP PERPH PROCH THIOT THIOR TRIFL ARIPI ASENA BREXP CARIP CLOZA ILOPE LURAS OLANZ OLANZF PALIP QUETI RISPE ZIPRA ANTPYCH * AT CBT CRT CFT DBT GT IDD IPT TELE AIM * CIT PEON PEOFF WI * PVTN * CLF CMHG CSBG MC MD MI OSF PI SCJJ SEF SF SI SMHA SWFS * TAY SE GL VET ADM MF CJ CO HV DV TRMA TBI ALZ PED PEFP PTSD SED SMI * HS PEER * ADLT CHLD SNR YAD * AH SP * VPPD * COOT FPSY ICM IMR PRS SEMP SH VRS CM SPS ES
Health Connect America,,8062 Highway 178 West,,Byhalia,Mississippi,38611,662-333-8102,,,,,SA MH SUMH * OP PHDT * OMH * ARIPI OLANZF QUETI RISPE ANTPYCH * AT CBT CFT DBT EMDR GT IDD IPT TELE * CIT PEOFF * PVTP * MD PI SF SWFS * TAY SE CO TRMA PTSD SED SMI * STU * PEER * TCC * ADLT CHLD SNR YAD * VAPP * COOT FPSY CM SPS
Region 8 Mental Health Services,Madison County Office,103 South Lake Circle Drive,,Canton,Mississippi,39046,601-859-8371,,,,,SA MH SUMH * OP PHDT * CMHC * CHLOR FLUPH HALOP LOXAP PERPH PROCH THIOT THIOR TRIFL ARIPI ASENA BREXP CARIP CLOZA ILOPE LURAS OLANZ OLANZF PALIP QUETI RISPE ZIPRA ANTPYCH * AT CBT CRT CFT DBT GT IDD IPT TELE AIM * CIT PEON PEOFF WI * PVTN * CLF CMHG CSBG MC MD MI OSF PI SCJJ SEF SF SI SMHA SWFS * TAY SE GL VET ADM MF CJ CO HV DV TRMA TBI ALZ PED PEFP PTSD SED SMI * HS PEER * ADLT CHLD SNR YAD * AH SP * VPPD * COOT FPSY ICM IMR PRS SEMP SH VRS CM SPS ES
Region X Weems CMHC,Leake County,529 East Main Street,,Carthage,Mississippi,39051,601-267-3551,,,,,SA MH SUMH * OP PHDT * CMHC * ANTPYCH * CBT CFT DBT GT IDD IPT TELE AIM * CIT PEON WI * LCCG * FQHC * CLF CMHG CSBG MC MD MI PI SF SI SMHA * SS * SED SMI * STU * TBS * PEER * ADLT CHLD SNR YAD * AH * VPPD * ACT COOT FPSY IMR PRS CM SPS ES
Region I Mental Health Center,Tallahatchie County Office,13 North Market Street,,Charleston,Mississippi,38921,662-647-3240,,,,,SA MH SUMH * OP PHDT * CMHC * HALOP ANTPYCH * CBT CFT DBT GT IPT TELE * CIT PEON PEOFF WI * LCCG * CLF CMHG MC MD PI SF SMHA SWFS * SE * STU * HS PEER * TCC * ADLT SNR YAD * AH * VPPD * COOT FPSY ICM IMR PRS SEMP CM SPS
Region I Mental Health Center,,1742 Cheryl Street,,Clarksdale,Mississippi,38614,662-627-7267,662-627-7267 x3021,,,,SA MH SUMH * OP PHDT * CMHC * CHLOR FLUPH HALOP LOXAP PERPH THIOT THIOR TRIFL ARIPI ASENA BREXP CLOZA ILOPE LURAS OLANZ OLANZF PALIP QUETI RISPE ZIPRA ANTPYCH * AT CBT CFT DBT EMDR GT IDD IPT TELE * CIT PEON PEOFF WI * LCCG * CLF CMHG CSBG MC MD MI OSF PI SCJJ SF SI SMHA SWFS * PA * SE VET ADM CO TRMA PTSD SED SMI * STU * TBS * PEER * TCC * ADLT CHLD SNR YAD * AH * VPPD * CDM COOT DEC FPSY ICM IMR PRS SEMP CM SPS ES
Region XII Pine Belt MH,Covington County Mental Health Center,22 Westview Drive,,Collins,Mississippi,39428,601-765-4514,,,,,SA MH SUMH * OP * OMH * ANTPYCH * AT CBT CRT CFT DBT GT IPT * CIT PEON PEOFF * PVTN * CMHG MC MD MI OSF PI SF SI SMHA * PA * TAY SE GL VET ADM MF CJ CO HV DV TRMA TBI ALZ PED PEFP PTSD SED SMI * ADLT CHLD SNR YAD * VPPD * COOT SPS
Region XII Pine Belt MH,Marion County Mental Health Center,217 Dewey Street,,Columbia,Mississippi,39429,601-736-6799,,,,,SA MH SUMH * OP * CMHC * CHLOR HALOP THIOT THIOR ARIPI ASENA BREXP CARIP CLOZA ILOPE LURAS OLANZ OLANZF PALIP QUETI RISPE ZIPRA NRT NSC ANTPYCH * CBT CFT DBT GT IDD IPT TELE * CIT PEOFF * PVTN * CLF CMHG CSBG MC MD MI PI SF SI SMHA SWFS * SE CJ CO TRMA PTSD SED SMI * STU * ADLT CHLD SNR YAD * AH * VPPD * CDM COOT FPSY IMR PRS CM SPS ES
Baptist Behavioral Healthcare,,2520 5th Street North,,Columbus,Mississippi,39705,662-244-2155,662-244-2560,662-244-2561,,,SA MH SUMH * HI OP * PSY * DROPE HALOP ARIPI CLOZA RISPE NRT ANTPYCH * AT CBT CFT GT IDD IPT AIM * PEON * PVTN * MC MD MI PI SF * SE GL VET ADM MF CO HV TRMA TBI ALZ PTSD SMI * STU * MST LABT * TCC * SMON * ADLT SNR YAD * AH * VAPN * COOT DEC FPSY CM SPS ES
Pathway Healthcare,Columbus,3600 Bluecutt Road,Suite 201,Columbus,Mississippi,39705,601-957-7343,,,,,SA MH SUMH * OP * OMH * NRT NSC ANTPYCH * AT CBT CRT CFT DBT GT IDD IPT * PVTP * MC MD PI SF SI SMHA * TAY SE GL VET ADM MF CJ CO HV DV TRMA TBI PED PEFP PTSD SED SMI * STU * HIVT HBT HCT * HS * TCC * ADLT CHLD SNR YAD * AH * VPPD * COOT FPSY SPS ES
Pines and Cady Hill,Recovery Center,1011 Main Street,,Columbus,Mississippi,39701,662-327-7916,,,,,SA MH SUMH * OP RES * RTCA * CHLOR HALOP NRT ANTPYCH * AT CBT CFT DBT GT IDD IPT TELE * CIT PEOFF * PVTN * SF SMHA * CO DV TRMA PED PTSD SMI * STU * HIVT TBS * HS PEER * TCC * ADLT SNR YAD * VPPD * COOT FPSY PRS SEMP SH VRS CM IPC SPS
Recovery House,,770 Golding Road,,Columbus,Mississippi,39702,662-329-4333,,,,,SA MH SUMH * OP RES * RTCA * CHLOR HALOP NRT ANTPYCH * AT CBT CFT DBT GT IDD IPT TELE * CIT PEOFF * PVTN * SF SMHA * CO DV TRMA PED PTSD SMI * STU * HIVT TBS * HS PEER * TCC * ADLT SNR YAD * VPPD * COOT FPSY PRS SEMP SH VRS CM IPC SPS
Region IV Mental Health Services,,601 Foote Street,,Corinth,Mississippi,38834,662-287-4424,,,,,SA MH SUMH * OP * CMHC * CHLOR FLUPH HALOP LOXAP PERPH THIOR TRIFL ARIPI CLOZA OLANZF PALIP QUETI RISPE ZIPRA ANTPYCH * CBT CFT GT IDD IPT TELE * CIT PEON PEOFF WI * STG * FQHC MHC * CMHG CSBG MC MD MI PI SF SI * SS * STU * TBS * HS PEER * ADLT SNR YAD * AH * VPPD * FPSY ICM SEMP CM SPS ES
Region IV Mental Health Services,Alcorn County Childrens Services,2664 South Harper Road,,Corinth,Mississippi,38834,662-287-4055,,,,,SA MH SUMH * OP * CMHC * CBT CFT DBT EMDR GT IDD IPT TELE * CIT PEON WI * PVTN * CLF CMHG CSBG MD MI OSF PI SCJJ SEF SF SI SMHA SWFS * TAY GL VET MF CJ CO HV DV TRMA PED PEFP PTSD SED SMI * CHLD YAD * VPPD * COOT FPSY CM IPC
Weems Community MH Center,Newton County Office,90 South 6th Street,,Decatur,Mississippi,39327,601-728-9461,601-635-3342,,,,SA MH SUMH * OP PHDT * CMHC * ANTPYCH * CBT CFT DBT GT IDD IPT TELE AIM * CIT PEON WI * LCCG * FQHC * CLF CMHG CSBG MC MD MI PI SF SI SMHA * SS * SED SMI * STU * TBS * PEER * ADLT CHLD SNR YAD * AH * VPPD * ACT COOT FPSY IMR PRS CM SPS ES
Region X Weems CMHC,Kemper County,121 Hopper Avenue,,De Kalb,Mississippi,39328,601-743-5616,,,,,SA MH SUMH * OP PHDT * CMHC * ANTPYCH * CBT CFT DBT GT IDD IPT TELE AIM * CIT PEON WI * LCCG * FQHC * CLF CMHG CSBG MC MD MI PI SF SI SMHA * SS * SE SED SMI * STU * TBS * ADLT CHLD SNR YAD * AH * VPPD * COOT FPSY ICM IMR PRS CM SPS ES
Jefferson County Hospital,,870 Main Street,,Fayette,Mississippi,39069,601-786-3401 x219,,601-786-3401 x220,,,MH * HI * IPSY * CHLOR HALOP CLOZA OLANZ QUETI RISPE NRT ANTPYCH * AT CBT DBT GT IPT TELE * WI * LCCG * MC PI SF * SE HV ALZ PTSD * STU * TCC * ADLT SNR * VPPD * CDM COOT DEC CM ES
HamiltonDavis Mental Health LLC,,2001 Airport Road,Suite 305,Flowood,Mississippi,39232,601-932-8991,,,,,SA MH SUMH * OP PHDT * CMHC * NRT ANTPYCH * AT CBT CFT DBT GT IDD IPT TELE * CIT PEON PEOFF * PVTP * FQHC MHC * CLF CMHG CSBG ITU MC MD MI OSF PI PCF SCJJ SEF SF SI SMHA SWFS VAF * TAY SE GL VET ADM MF CJ CO HV DV TRMA TBI ALZ PED PEFP PTSD SED SMI * STU * PEER * TCC * SMON * ADLT CHLD SNR YAD * AH * VAPN * AOT CDM COOT DEC FPSY IMR PRS SEMP SH VRS SPS
Psycamore Psychiatric Programs LLC,Main Office,2540 Flowood Drive,,Flowood,Mississippi,39232,601-939-5993,,,,,MH SUMH * OP PHDT * PH * ARIPI LURAS OLANZ QUETI RISPE ZIPRA ANTPYCH * AT CBT CFT DBT EMDR GT IDD IPT TELE * PVTP * MI PI SF SI * TAY ADM MF CO TRMA PTSD SED SMI * STU * LABT * SMON * ADLT CHLD YAD * VAPN * FPSY
Shephearst Meadows LLC,,120 Stone Creek Boulevard,Suite 100,Flowood,Mississippi,39232,601-933-1136,,,,,SA MH * OP * OMH * AT CBT CFT DBT GT IDD IPT TELE * PVTP * PI SF * CO TRMA PED PTSD * ADLT SNR YAD * VPPD
SE Lackey Memorial Hospital,Behavioral Health,330 North Broad Street,,Forest,Mississippi,39074,601-469-4151,601-469-4151 x308,,,,SA MH * HI OP * IPSY * HALOP OLANZ OLANZF PALIP RISPE ZIPRA NRT ANTPYCH * AT CBT DBT GT IDD IPT TELE AIM * PEON * PVTN * MC MI PI SF * SE * STU * MST LABT * PEER * TCC * ADLT SNR * VPPD * CDM IMR CM ES
Delta Regional Medical Center,Behavioral Health Unit,300 South Washington Avenue,,Greenville,Mississippi,38701,662-725-2461,,662-725-2200,,,SA MH SUMH * HI * IPSY * CHLOR FLUPH HALOP ARIPI CLOZA OLANZ QUETI RISPE ZIPRA NRT ANTPYCH * AT GT IPT * WI * PVTN * CLF MC MD MI OSF PI SCJJ SF SI SMHA SWFS VAF * STU * HIVT STDT TBS HBT HCT LABT * TCC * SMON * ADLT SNR YAD * VAPN * COOT CM IPC SPS ES
Life Help Mental Health Ctr/Region 6,,1654 East Union Street,,Greenville,Mississippi,38701,662-335-5274,662-335-5274 x0,,,,SA MH SUMH * OP * CMHC * HALOP ANTPYCH * CBT CFT DBT GT IDD IPT TELE * CIT PEON PEOFF WI * STG * CMHG CSBG MC MD PI SCJJ SF SWFS VAF * PA SS * CO * HS * ADLT CHLD SNR YAD * VAPN * COOT FPSY ICM CM SPS
Life Help Mental Health Ctr/Region 6,Intensive Outpatient,113 Highway 7 South,,Greenwood,Mississippi,38930,662-455-3222,,662-453-1240,,,SA * CMHC * IDD * PVTN * SF * SMON * ADLT SNR YAD * VAPN
Life Help Mental Health Ctr/Region 6,Main Office,2504 Browning Road,,Greenwood,Mississippi,38930,662-453-6211,662-453-6211 x103,,,,MH SUMH * OP * OMH * CHLOR FLUPH HALOP PERPH ARIPI ASENA BREXP CARIP CLOZA ILOPE LURAS OLANZ PALIP QUETI RISPE ZIPRA ANTPYCH * CBT CFT GT IDD IPT TELE * CIT PEON PEOFF WI * PVTN * CMHG MC MD PI SF SMHA * PA SS * CO TRMA PEFP SED SMI * STU * TBS MST LABT * HS PEER * ADLT CHLD SNR YAD * AH * VPPD * ACT CDM COOT FPSY ICM SEMP CM SPS
Canopy Childrens Solutions,South Region,11975 Seaway Road,Suite A-230,Gulfport,Mississippi,39503,228-863-4992,800-388-6247,,,,MH SUMH * OP * CMHC * ANTPYCH * AT CBT CFT DBT GT IDD IPT TELE AIM * CIT PEOFF * PVTN * MD MI PI SF * SS * TAY DV TRMA PTSD SED SMI * PEER * SMON * CHLD YAD * AH * VAPN * COOT FPSY CM SPS ES
Specialized Treatment Facility,,14426 James Bond Road,,Gulfport,Mississippi,39503,228-328-6000 x102,228-328-6000 x105,228-328-6000 x104,,,SA MH SUMH * RES * RTCC * AT CBT CFT GT IDD IPT AIM * STG * MD MI OSF PI SEF SF SI SMHA SWFS * PA SS * CO TRMA PTSD SED * STU * HIVT STDT TBS MST HBT LABT * SMON * CHLD * VAPN * COOT FPSY IPC SPS ES
Canopy Childrens Solutions,South Central Region,105 Asbury Circle,Suite A,Hattiesburg,Mississippi,39402,601-264-7079,,,,,MH SUMH * OP * CMHC * ANTPYCH * AT CBT CFT DBT GT IDD IPT TELE AIM * CIT PEOFF * PVTN * MD MI PI SF SWFS * TAY DV TRMA PTSD SED SMI * PEER * SMON * CHLD YAD * AH * VAPN * FPSY TPC CM SPS ES
Pine Belt Mental Healthcare Resources,Region 12,103 South 19th Avenue,,Hattiesburg,Mississippi,39401,601-544-4641,,,,,SA MH SUMH * OP * CMHC * HALOP PERPH CLOZA OLANZ OLANZF RISPE ANTPYCH * AT CBT CFT DBT GT IDD IPT TELE * CIT PEON PEOFF WI * PVTN * CLF CMHG CSBG MC MD MI OSF PI SCJJ SF SI SMHA VAF * SS * TAY SE CJ TRMA TBI PTSD SMI * STU * PEER * ADLT SNR YAD * AH * VAPN * ACT COOT FPSY ICM PRS SEMP VRS CM IPC SPS
Pine Grove BH and Addiction Servs,,2255 Broadway Drive,,Hattiesburg,Mississippi,39402,601-288-2273,888-574-4673,601-288-4800,,,SA MH SUMH * HI PHDT * IPSY * NRT ANTPYCH * AT CBT CFT GT IDD TELE * CIT PEON WI * LCCG * MC MD MI PI SF SI * SE CO SED SMI * STU * TCC * SMON * ADLT CHLD SNR YAD * AH * VAPN * DEC FPSY IPC SPS
Pine Grove BH and Addiction Servs,,1 Lincoln Parkway,Suite 202,Hattiesburg,Mississippi,39402,601-288-8050,,,,,SA MH SUMH * OP * OMH * NRT NSC ANTPYCH * CBT CFT DBT GT IDD IPT * PVTN * PI SF * CO * TCC * SMOP * ADLT CHLD SNR YAD * AH SP * VAPN * ACT COOT
Reg 12/Pine Belt Mental Hlthcare Res,Forrest County Child and Adol Building,110 Patton Avenue,,Hattiesburg,Mississippi,39401,601-582-1111 x186,601-544-4641 x165,,,,SA MH SUMH * OP * CMHC * ANTPYCH * CBT CFT DBT GT IDD IPT TELE * CIT PEON PEOFF * PVTN * CLF FG MD MI PI SCJJ SF SI SMHA * TAY CJ CO TRMA PTSD SED * PEER * CHLD YAD * AH * VPPD * COOT FPSY CM
Twin Oaks Senior Center,,701 West Pine Street,,Hattiesburg,Mississippi,39401,601-545-5614,,,,,MH * OP PHDT * PH * CBT GT IPT TELE * PVTP * CMHG MD * ADLT SNR * VPPD * PRS
Region 8 Mental Health Services,Copiah County Satellite Office,1019 Carroll Drive,,Hazlehurst,Mississippi,39083,601-894-2018,,,,,SA MH SUMH * OP PHDT * CMHC * CHLOR FLUPH HALOP LOXAP PROCH THIOT THIOR TRIFL ARIPI ASENA BREXP CARIP CLOZA ILOPE LURAS OLANZ OLANZF PALIP QUETI RISPE ZIPRA ANTPYCH * AT CBT CRT CFT DBT GT IDD IPT TELE AIM * CIT PEON PEOFF WI * PVTN * CLF CMHG CSBG MC MD MI OSF PI SCJJ SEF SF SI SMHA SWFS * TAY SE GL VET ADM MF CJ CO HV DV TRMA TBI ALZ PED PEFP PTSD SED SMI * HS PEER * ADLT CHLD SNR YAD * AH SP * VPPD * COOT FPSY ICM IMR PRS SEMP SH VRS CM SPS ES
Region IV Mental Health Services,Desoto County Childrens Services,2705 Highway 51 South,,Hernando,Mississippi,38632,662-449-1808,,,,,SA MH SUMH * OP * CMHC * CBT CFT DBT EMDR GT IDD IPT TELE * CIT PEON WI * PVTN * CLF CMHG CSBG MD MI PI SCJJ SEF SF SI SMHA SWFS * TAY GL VET MF CJ CO HV DV TRMA PED PEFP PTSD SED SMI * CHLD YAD * VPPD * COOT FPSY CM
Communicare,Marshall County Office,695 Highway 4 East,,Holly Springs,Mississippi,38635,662-252-4140,,,,,SA MH SUMH * OP PHDT * CMHC * ANTPYCH * CBT CFT DBT EMDR GT IDD IPT TELE * CIT PEON PEOFF WI * LCCG * MHC * CLF CMHG CSBG FG MC MD MI OSF PI SCJJ SEF SF SI SMHA SWFS VAF * PA SS * TAY CO SED SMI * STU * HS PEER * TCC * SMON * ADLT CHLD SNR YAD * AH * VAPN * ACT AOT CDM COOT FPSY ICM IMR PRS SEMP SH CM SPS ES
Trace Regional Geriatric Psych Unit,,1002 East Madison Street,,Houston,Mississippi,38851,662-456-3700,662-456-1230,,,,MH * HI * IPSY * NRT NSC * AT CBT GT IPT * PVTP * MC PI SF * SE ALZ * STU * TCC * SMON * ADLT SNR * VAPN * CM SPS
Life Help Mental Health Ctr/Region 6,Indianola Office/Sunflower County,219 South Martin Luther King Jr Drive,,Indianola,Mississippi,38751,662-887-5441,,,,,SA MH SUMH * OP * OMH * FLUPH HALOP ANTPYCH * CBT CRT CFT DBT GT IDD IPT * PEON PEOFF * PVTN * CMHG CSBG MC MD PI SF SI SMHA * PA SS * TAY SE GL VET ADM MF CO HV DV TRMA TBI ALZ PED PEFP PTSD SED SMI * SMON * ADLT CHLD SNR YAD * VAPN * COOT FPSY ICM CM
Region IV Mental Health Services,Tishomingo County,1213 Maria Lane,,Iuka,Mississippi,38852,662-423-3332,,,,,SA MH SUMH * OP * CMHC * RISPE ANTPYCH * CBT CFT DBT EMDR GT IDD IPT TELE * CIT PEON WI * PVTN * CLF CMHG CSBG MC MD MI OSF PI SCJJ SEF SF SI SMHA SWFS * TAY SE GL VET ADM MF CJ CO HV DV TRMA TBI ALZ PED PEFP PTSD SED SMI * HS PEER * ADLT CHLD SNR YAD * VPPD * COOT FPSY ICM IMR PRS SH CM SPS
Canopy Childrens Solutions,,1465 Lakeland Drive,,Jackson,Mississippi,39216,601-352-7784,,800-388-6247,,,MH SUMH * OP * CMHC * ANTPYCH * AT CBT CFT DBT GT IDD IPT TELE AIM * CIT PEOFF * PVTN * MD PI SEF SF * SS * TAY DV TRMA PTSD SED SMI * PEER * SMON * CHLD YAD * AH * VAPN * COOT FPSY CM SPS ES
Canopy Childrens Solutions,CARES Ctr PRTF and School,402 Wesley Avenue,,Jackson,Mississippi,39202,601-352-7784,601-709-1364,,,,MH SUMH * RES * RTCC * ANTPYCH * AT CBT CFT DBT GT IPT AIM * CIT PEON * PVTN * MD * TAY GL CJ CO HV DV TRMA TBI PED PTSD SED SMI * HIVT STDT TBS MST LABT * PEER * SMON * CHLD YAD * AH * VAPN * COOT DEC FPSY CM SPS ES
